Framework,Param_Clients,Param_Rounds,Param_Epochs,Param_Batch_Size,Param_Seed,Iteration,Start_Time,End_Time,Raw_Duration_s,Adjusted_Window_s,Detected_Client_Count,Server_CPU_Cores,Server_Memory_Bytes,Server_Net_Rx_Bps,Server_Net_Tx_Bps,Server_GPU_Util,Clients_Avg_CPU_Cores,Clients_Avg_Memory_Bytes,Clients_Avg_Net_Rx_Bps,Clients_Avg_Net_Tx_Bps,Clients_Avg_GPU_Util,Accuracies_Per_Round
nvidiaFlare,2,3,2,32,69,2,2026-06-03 00:31:06Z,2026-06-03 01:07:48Z,2202,2202,2,0.0047,299191428.35,63738.36,54443.98,0.0,1.9625,1278832553.25,27083.76,31764.76,98.57,"{""Round 1"": 0.9845, ""Round 2"": 0.9969, ""Round 3"": 0.9978}"
nvidiaFlare,3,5,2,64,420,3,2026-06-03 05:08:54Z,2026-06-03 06:44:29Z,5735,5735,3,0.0054,387818164.78,59875.12,52491.85,0.0,1.5999,1315626611.61,17390.76,19891.85,97.72,"{""Round 1"": 0.6515, ""Round 2"": 0.7698, ""Round 3"": 0.8662, ""Round 4"": 0.8891, ""Round 5"": 0.887}"
nvidiaFlare,10,3,2,16,42,1,2026-06-03 06:45:21Z,2026-06-03 07:56:42Z,4280,4280,10,0.0112,399846490.92,151457.01,140274.57,0.0,1.2716,1259740311.21,13996.31,15702.59,99.79,"{""Round 1"": 0.8957, ""Round 2"": 0.9416, ""Round 3"": 0.9588}"
fedbiomed,2,3,2,32,69,2,2026-06-03 07:58:29Z,2026-06-03 08:43:21Z,2691,2691,2,0.0051,869464227.38,44122.98,58705.24,0.0,1.9897,1481850466.74,29362.25,22068.26,87.45,"{""Round 1"": 0.964286, ""Round 2"": 1.0, ""Round 3"": 1.0}"
nvidiaFlare,3,3,1,128,42,1,2026-06-03 08:44:15Z,2026-06-03 09:12:35Z,1699,1699,3,0.0061,347764723.95,118013.59,105862.89,0.0,1.5582,1219076497.57,35170.57,43132.21,95.86,"{""Round 1"": 0.6722, ""Round 2"": 0.7437, ""Round 3"": 0.8035}"
nvidiaFlare,3,7,2,64,420,3,2026-06-03 09:13:23Z,2026-06-03 11:26:42Z,7999,7999,3,0.0053,487694184.87,53198.72,52710.88,0.0,1.5994,1349804546.56,17451.1,19304.52,97.38,"{""Round 1"": 0.6515, ""Round 2"": 0.7703, ""Round 3"": 0.8665, ""Round 4"": 0.8887, ""Round 5"": 0.8874, ""Round 6"": 0.8591, ""Round 7"": 0.8612}"
fedbiomed,3,3,2,64,42,1,2026-06-03 11:29:07Z,2026-06-03 12:29:03Z,3595,3595,3,0.0037,936212198.01,49501.77,65924.21,0.0,1.3763,1746687104.65,21976.17,16501.3,92.91,"{""Round 1"": 0.814594, ""Round 2"": 0.882, ""Round 3"": 0.915179}"
fedbiomed,3,3,1,64,42,1,2026-06-03 13:32:32Z,2026-06-03 14:04:40Z,1928,1928,3,0.0036,931176362.89,92272.82,122954.18,0.0,1.7925,1731422852.41,40985.99,30758.02,84.58,"{""Round 1"": 0.774195, ""Round 2"": 0.857749, ""Round 3"": 0.903053}"
fedbiomed,3,3,1,128,69,2,2026-06-03 14:07:11Z,2026-06-03 14:38:29Z,1878,1878,3,0.0035,955962130.43,94712.87,126235.89,0.0,1.6005,1474241138.23,42079.44,31562.03,89.56,"{""Round 1"": 0.620269, ""Round 2"": 0.617886, ""Round 3"": 0.626016}"
nvidiaFlare,3,3,2,64,420,3,2026-06-03 14:39:28Z,2026-06-03 15:37:29Z,3480,3480,3,0.006,300894704.57,63771.15,51888.46,0.0,1.6765,1286916753.07,17219.34,21197.31,95.59,"{""Round 1"": 0.6518, ""Round 2"": 0.7704, ""Round 3"": 0.8669}"
nvidiaFlare,5,3,2,32,42,1,2026-06-03 16:04:17Z,2026-06-03 17:14:03Z,4186,4186,5,0.0085,397957230.11,72914.45,71964.12,0.0,1.3979,1281540801.67,14339.66,15457.08,99.03,"{""Round 1"": 0.9253, ""Round 2"": 0.9245, ""Round 3"": 0.9302}"
