Framework,Param_Clients,Param_Rounds,Param_Epochs,Param_Batch_Size,Param_Seed,Iteration,Start_Time,End_Time,Raw_Duration_s,Adjusted_Window_s,Detected_Client_Count,Server_CPU_Cores,Server_Memory_Bytes,Server_Net_Rx_Bps,Server_Net_Tx_Bps,Server_GPU_Util,Clients_Avg_CPU_Cores,Clients_Avg_Memory_Bytes,Clients_Avg_Net_Rx_Bps,Clients_Avg_Net_Tx_Bps,Clients_Avg_GPU_Util,Accuracies_Per_Round
fedbiomed,2,3,2,32,42,1,2026-06-01 00:41:40Z,2026-06-01 01:35:27Z,3227,3227,2,0.0035,879702339.87,36880.98,49012.09,0.0,3.3303,1498327684.56,24509.7,18433.79,86.13,"{""Round 1"": 0.820833, ""Round 2"": 0.858334, ""Round 3"": 0.90625}"
fedbiomed,10,3,2,32,420,3,2026-06-01 01:38:07Z,2026-06-01 02:47:01Z,4133,4133,10,0.0066,1406775365.42,143374.92,191029.05,0.0,1.4238,1472807256.14,19111.56,14337.55,83.93,"{""Round 1"": 0.368882, ""Round 2"": 0.882298, ""Round 3"": 0.947451}"
fedbiomed,3,3,1,128,420,3,2026-06-01 02:48:37Z,2026-06-01 03:14:34Z,1557,1557,3,0.0057,936206177.95,114298.81,152345.02,0.0,2.9798,1464327590.55,50747.77,38065.58,81.56,"{""Round 1"": 0.584665, ""Round 2"": 0.745304, ""Round 3"": 0.804878}"
fedbiomed,3,5,2,64,42,1,2026-06-01 03:15:58Z,2026-06-01 04:35:26Z,4767,4767,3,0.0035,1112742668.09,62129.17,74474.38,0.0,2.6011,1577123002.15,24831.54,20705.69,88.0,"{""Round 1"": 0.776455, ""Round 2"": 0.891148, ""Round 3"": 0.840553, ""Round 4"": 0.868827, ""Round 5"": 0.917934}"
fedbiomed,3,3,1,64,69,2,2026-06-01 04:36:50Z,2026-06-01 05:04:39Z,1668,1668,3,0.0079,929192536.91,106483.03,141881.84,0.0,3.1588,1479862697.13,47311.81,35499.17,77.0,"{""Round 1"": 0.257343, ""Round 2"": 0.422094, ""Round 3"": 0.452107}"
fedbiomed,3,7,2,64,42,1,2026-06-01 05:06:03Z,2026-06-01 06:55:33Z,6569,6569,3,0.0036,1269789061.65,63111.36,72056.41,0.0,2.5564,1603144853.11,24028.59,21036.7,89.36,"{""Round 1"": 0.779872, ""Round 2"": 0.847994, ""Round 3"": 0.8125, ""Round 4"": 0.873291, ""Round 5"": 0.91347, ""Round 6"": 0.94472, ""Round 7"": 0.940256}"
fedbiomed,10,3,2,32,42,1,2026-06-01 06:58:13Z,2026-06-01 08:05:55Z,4061,4061,10,0.0062,1288873819.86,145843.23,194307.1,0.0,1.4463,1477347760.76,19442.35,14586.68,84.96,"{""Round 1"": 0.515692, ""Round 2"": 0.926419, ""Round 3"": 0.951858}"
fedbiomed,7,3,2,32,420,3,2026-06-01 08:08:13Z,2026-06-01 09:07:18Z,3545,3545,7,0.0062,1148588806.14,117053.24,155898.46,0.0,1.7094,1475974769.79,22273.02,16716.26,83.88,"{""Round 1"": 0.323431, ""Round 2"": 0.882701, ""Round 3"": 0.944417}"
fedbiomed,3,3,2,32,69,2,2026-06-01 09:08:44Z,2026-06-01 10:03:43Z,3298,3298,3,0.0034,927812426.2,54043.09,71886.69,0.0,2.6711,1486442823.53,23966.01,18009.12,83.48,"{""Round 1"": 0.30057, ""Round 2"": 0.421652, ""Round 3"": 0.376068}"
fedbiomed,3,3,1,128,42,1,2026-06-01 10:05:03Z,2026-06-01 10:30:00Z,1496,1496,3,0.006,953192516.49,118912.97,158493.1,0.0,2.9161,1434317713.27,52846.37,39640.83,82.85,"{""Round 1"": 0.499338, ""Round 2"": 0.883488, ""Round 3"": 0.891148}"
fedbiomed,3,3,1,64,420,3,2026-06-01 10:31:19Z,2026-06-01 10:58:58Z,1658,1658,3,0.0046,916756869.8,107338.8,143018.97,0.0,3.134,1483677902.24,47662.12,35762.79,75.17,"{""Round 1"": 0.624521, ""Round 2"": 0.734994, ""Round 3"": 0.777778}"
